Zone,SFD,SFA,MF234,MF5plus,MH,DevCapacity,DevLandUse
183,1,1,1,1,1,169.78432,5.394016691
184,1,1,1,1,1,0.9213205,2.792174498
185,1,1,1,1,1,151.04318,10.92749892
186,1,1,1,1,1,110.71829,8.90834876
187,1,1,1,1,1,86.33721,10.07371797
188,1,1,1,1,1,55.3249,15.76471878
189,1,1,1,1,1,57.76396,12.15950106
190,1,1,1,1,1,97.61207,19.22361637
191,1,1,1,1,1,297.41376,7.065615282
192,1,1,1,1,1,318.55847,9.448028228
193,1,1,1,1,1,219.42853,11.22490153
194,1,1,1,1,1,258.47412,7.653541128
195,1,1,1,1,1,186.4807,9.770124058
196,1,1,1,1,1,124.469604,8.896963598
197,1,1,1,1,1,170.25148,14.90662911
198,1,1,1,1,1,141.86707,10.3813141
199,1,1,1,1,1,124.52663,14.08320042
200,1,1,1,1,1,158.2724,78.12788674
201,1,1,1,1,1,114.66244,63.59714447
202,1,1,1,1,1,122.852806,130.4676392
203,1,1,1,1,1,175,122.9163769
204,1,1,1,1,1,1148.1238,9.131541904
205,1,1,1,1,1,11,12.02423015
206,1,1,1,1,1,183.20784,16.75442332
207,1,1,1,1,1,82.842636,15.25055526
208,1,1,1,1,1,332.1886,57.79089051
209,1,1,1,1,1,293.5244,78.0723326
210,1,1,1,1,1,216.8358,9.575350812
211,1,1,1,1,1,753.0636,15.40095041
212,1,1,1,1,1,157.54831,12.91855454
213,1,1,1,1,1,329.57895,11.60216859
214,1,1,1,1,1,162.60413,10.24075798
215,1,1,1,1,1,304.93933,9.738526008
216,1,1,1,1,1,301.25412,13.27704378
217,1,1,1,1,1,654.45496,10.574878
218,1,1,1,1,1,575.049,6.361964966
219,1,1,1,1,1,321.92654,24.07582562
220,1,1,1,1,1,700.1151,10.08416245
221,1,1,1,1,1,607.7617,34.70759824
222,1,1,1,1,1,469.20163,210.9292822
223,1,1,1,1,1,180.27661,8.379868926
224,1,1,1,1,1,221.98938,7.877307327
225,1,1,1,1,1,131.71756,7.441096279
226,1,1,1,1,1,252.27182,7.479983861
227,1,1,1,1,1,190.78671,9.228736898
228,1,1,1,1,1,219.52927,12.08875352
229,1,1,1,1,1,131.00958,3.178903024
230,1,1,1,1,1,357.2612,14.62154782
231,1,1,1,1,1,99.361176,9.332404341
232,1,1,1,1,1,172.75089,8.114424242
233,1,1,1,1,1,138.71756,8.098173955
234,1,1,1,1,1,101.747345,10.73704398
235,1,1,1,1,1,177.9798,9.376697797
236,1,1,1,1,1,305.3112,16.59870807
237,1,1,1,1,1,497.48886,11.83885718
238,1,1,1,1,1,244.15733,12.40647779
239,1,1,1,1,1,0,854.7485497
240,1,1,1,1,1,0,332.9753107
241,1,1,1,1,1,189.48248,100.0989119
242,1,1,1,1,1,85.287125,85.17957431
243,1,1,1,1,1,107.43303,95.06680961
244,1,1,1,1,1,56.871277,102.1222743
245,1,1,1,1,1,214.4325,8.96326175
246,1,1,1,1,1,165.3617,3.675779165
247,1,1,1,1,1,53,7.780612702
248,1,1,1,1,1,574.3323,10.54996276
249,1,1,1,1,1,772.0912,83.73335011
250,1,1,1,1,1,244.9596,89.11559369
251,1,1,1,1,1,27,124.4729607
252,1,1,1,1,1,19.143822,52.39354608
253,1,1,1,1,1,36,44.48589946
254,1,1,1,1,1,221.5635,181.0179207
255,1,1,1,1,1,50.714954,1235.888846
256,1,1,1,1,1,151,2925.6414
257,1,1,1,1,1,79.42991,101.3553935
258,1,1,1,1,1,0,82.50677427
259,1,1,1,1,1,0,103.0186033
260,1,1,1,1,1,144,12.24452543
261,1,1,1,1,1,227.73314,9.248464113
262,1,1,1,1,1,32,14.4628255
263,1,1,1,1,1,20.286606,11.39247122
264,1,1,1,1,1,145,9.112331495
265,1,1,1,1,1,71.84253,7.512869605
266,1,1,1,1,1,217.41084,9.53811323
267,1,1,1,1,1,253.52927,8.669713852
268,1,1,1,1,1,345.69736,16.69109591
269,1,1,1,1,1,112.36597,9.432659393
270,1,1,1,1,1,308.35056,13.35016059
271,1,1,1,1,1,299.2314,17.64345494
272,1,1,1,1,1,8.286085,44.94676861
